,Feature,Importance
26,Adj Close,0.498980553222528
25,Close,0.4802364566527605
1,DJI,0.004940341966017884
15,INDUSTRIALS,0.0017677409348404035
13,HEALTHCARE,0.0017111532865869607
3,RUSSELL 2000,0.0012613408371719764
17,CONSUMER DISCRETIONARY,0.001249110149544096
10,ENERGY,0.0010580982229613344
16,UTLITIES,0.0008678166907932274
2,Nasdaq,0.000823209724569268
12,TECHNOLOGY,0.0007856180910487047
31,EMA_5,0.000767305824701837
11,FINANCIALS,0.0005873557217034572
18,MATERIALS,0.0005466981231469715
14,CONSUMER STAPLES,0.0005043702957614764
47,(High - Close)_times_Volume,0.0002659088137910738
0,VIX,0.00025431212999865304
45,High - Close,0.0002254082629533999
67,M2,0.00019435719242823552
23,High,0.00017826437960708313
4,DAX,0.00014898753390551407
8,SSE,0.00014405682937907179
35,RSI_14,0.00014072126578964285
30,SMA_20,0.00012350272257405246
48,(High - Low)_times_Volume,0.00011881775603339244
73,EURUSD,0.00010344088978837358
27,Volume,0.00010299956677930457
65,FED OPEN MARKET OPERATIONS: TOTAL SECURITIES,9.572850132803693e-05
20,10Y YIELD,9.194967261398396e-05
9,Nikkei,8.894008932796175e-05
33,EMA_20,8.208861482104555e-05
22,Open,7.601869488734149e-05
56,10Y EXPECTED INFLATION,7.094831407897569e-05
75,AUDUSD,6.901086131196739e-05
38,OBV,6.589454349765284e-05
70,POLICY UNCERTAINTY INDEX,6.467905971000277e-05
42,Volume x Adj_Close,6.335034681792259e-05
62,10Y-2Y: YIELD CURVE,6.293106446888337e-05
28,SMA_5,6.233239092363611e-05
6,CAC,6.118696968070706e-05
21,30Y YIELD,5.287977674976487e-05
61,WTI,5.012725574567779e-05
37,ATRr_14,4.880209993324968e-05
74,USDJPY,4.846425711722284e-05
76,USDCAD,4.593747742020642e-05
24,Low,4.376693160732043e-05
43,Volume x Open,4.0257232930588105e-05
34,RSI_7,4.004787001153568e-05
46,Close - Low,3.982071739146625e-05
60,BRENT,3.5714473891874436e-05
19,5Y YIELD,3.482494927239138e-05
44,High - Low,2.9748010082501905e-05
68,AAA YIELD,2.9620086242740777e-05
63,1M TBILL,2.8995220002689358e-05
59,2Y EXPECTED INFLATION,2.8346158975818755e-05
71,RESIDENTIAL CONSTRUCTION SPENDING,2.755067331054445e-05
36,RSI_20,2.742690789182532e-05
39,Volume.1,2.5707506669668064e-05
72,NEW PRIVATE HOUSING,2.5239789287712452e-05
7,HSI,2.2177182774514885e-05
29,SMA_10,2.0933947132328154e-05
5,FTSE,2.0881372805754948e-05
69,US GDP,2.0041585676577315e-05
66,M1,1.8469140491557575e-05
49,(Close - Low)_times_Volume,1.759137939804555e-05
54,PERSONAL SAVINGS,1.735139280785653e-05
51,MEDIAN CPI,1.48142580265066e-05
40,Volume x High,1.3579373410901958e-05
41,Volume x Low,1.2624366857798181e-05
58,1Y EXPECTED INFLATION,1.2552997356710174e-05
32,EMA_10,1.1884495654857715e-05
55,PPI (ALL COMMODITIES),1.0541770731890325e-05
53,PCE,1.0485960222810898e-05
64,3M TBILL,1.0121866572881585e-05
52,STICKY CPI,8.001636529915238e-06
57,5Y EXPECTED INFLATION,6.2773701410639385e-06
50,CPI,5.386298241200091e-06
